Name,Sample,AB,Input,Species,Screen,Motif,GB
MixInpFEB,1,Input,,mouse,1,0,0
MixInpJAN,2,Input,,mouse,1,0,0
BovA,3,H3K4me3,,bovine,0,0,1
BovB,4,H3K4me3,,bovine,0,0,1
NanNEWmixsd,5,Nanog,MixInpFEB,mouse,1,1,1
OctsrJAN,6,Oct4,,mouse,0,1,1
OctMixsrJAN,7,Oct4,MixInpJAN,mouse,1,1,1
SoxMixsrJAN,8,Sox2,MixInpJAN,mouse,1,1,1
NanMixsrJAN,9,Nanog,MixInpJAN,mouse,1,1,1
OctMixsdFEB,10,Oct4,MixInpFEB,mouse,1,1,1
SoxMixsdFEB,11,Sox2,MixInpFEB,mouse,1,1,1
NanMixsdFEB,12,Nanog,MixInpFEB,mouse,1,1,1
OctsdAndFEB,13,Oct4,,mouse,0,1,1
OctsdEpiFEB,14,Oct4,,mouse,0,1,1
OctNEWmixsd,15,Oct4,MixInpFEB,mouse,1,1,1
SoxNEWmixsd,16,Sox2,MixInpFEB,mouse,1,1,1
acNuc,18,H2A.Zac,,mouse,0,0,0
acPreNuc,19,H2A.Zac,,mouse,0,0,0
acOcta,20,H2A.Zac,,mouse,0,0,0
27acNuc,21,H3K27ac,,mouse,0,0,0
27acOcta,22,H3K27ac,,mouse,0,0,0
